FeatureUID,DsgAttr01,Country,FeatureNam,NameVar,FeatureTyp,Latitude,Longitude,LocConfid,DsgAttr02,DsgAttr03,DsgAttr04,DsgAttr05,DsgAttr06,DsgAttr07,DsgAttr08,OperateNam,OwnerName,Website,DsgAttr09,Label1,LocSource1,InfSource1,ADM1,DsgAttr10,geometry,index__africa,id,infra,name,iso3,Continent_Code,node_id,index__corridor,OBJECTID,Project_code,Project_name,Corridor_name,Infrastructure_development_type,Status,Region_or_province,Description,Launch_year,USD_amount__Million__Minimum,USD_amount__Million__Maximum,Amount_description,Distance__km__Minimum,Distance__km__Maximum,GIS_distance,Area__Km2_,Supplier_or_recipient_of_goods_or_services,Key_beneficiaries,Commodities_traded_or_transported,Name_of_donors_or_financiers,Amount_funded__USD_millions__per_donor_type,Type_of_major_donors_or_financiers,FeatureUID_left,Country_left,id_left,infra_left,name_left,iso3_left,Continent_Code_left,node_id_left,id_right,infra_right,name_right,iso3_right,Continent_Code_right,node_id_right,Country_right,FeatureUID_right,index_right,ISO_A3
AGp04,AGp04a,Angola,Malongo Oil Terminal,<Null>,Oil and Gas Terminal,-5.396569,12.197717,E,N,Oil and Gas Products,"Cabinda and Nemba Crude Oil, Liquefied Petroleum Gas (LPG)",-999.0,NA,<Null>,<Null>,Cabinda Gulf Oil Company Ltd. (CABGOC),Cabinda Gulf Oil Company Ltd. (CABGOC),https://angola.chevron.com/e<Null>bout/our-history-in-angola,LPG to Brazil,AGp4,"NGA-WPI-Pub150, Google Earth","NGA-WPI-Pub150, AGp006, AGp010",Cabinda,46487,POINT (12.197716999642005 -5.396568999803377),230.0,port691,port,Malongo_Angola,AGO,AF,port691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,AGO
AGp05,AGp05a,Angola,Namibe,<Null>,General Cargo Port,-15.193233,12.13158,E,Y,Dimension Stone,Granite,34300.0,Cubic metres,<Null>,<Null>,<Null>,Empresa Portuaria do Namibe,<Null>,"Western Europe, India, China",AGp5,"NGA-WPI-Pub150, Google Earth","NGA-WPI-Pub150, AGp007, AGp009",Namibe,46610,POINT (12.13157999922277 -15.193232999747812),231.0,port788,port,Namibe_Angola,AGO,AF,port788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,AGO
BEp01,BEp01a,Benin,Cotonou,Port Autonome de Cotonou Pac,General Cargo Port,6.345091,2.425525,E,Y,Uranium,Unspecified,-999.0,NA,<Null>,Northern Niger,Bolloré Africa Logiscs,Ports Authority of Cotonou,http://www.portcotonou.com/,<Null>,BEp1,"NGA-WPI-Pub150, BEp001, Google Maps","NGA-WPI-Pub150, BEp001, BEp002",Littoral,46110,POINT (2.4255249999508828 6.345091000600466),210.0,port265,port,Cotonou_Benin,BEN,AF,port265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,BEN
CMp01,CMp01a,Cameroon,Douala,<Null>,Bulk Commodities Port,4.04604,9.684832,E,Y,Aluminum,Aluminum Metal,-999.0,NA,<Null>,<Null>,<Null>,Office National des Ports du Cameroun,<Null>,<Null>,CMp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, CMp004, CMp006",Littoral,46280,POINT (9.684831999853765 4.046039999763479),216.0,port299,port,Douala_Cameroon,CMR,AF,port299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,CMR
KMp01,KMp01a,Comoros,Moroni,<Null>,General Cargo Port,-11.7047,43.247987,E,N,Cement,Pozzolana (Cement),-999.0,NA,<Null>,<Null>,<Null>,APC Autorité Portuelle du Comoro,<Null>,<Null>,KMp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, KMp001, KMp002",Njazídja,47300,POINT (43.24798699995921 -11.704700000322871),238.0,port769,port,Moroni_Comoros,COM,AF,port769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGp02,CGp02a,Congo (Brazzaville),Pointe Noire,<Null>,Oil and Gas Terminal,-4.783582,11.831689,E,N,"Oil and Gas Products, Refined",Refined Petroleum Products,7600.0,Thousand 42-gallon barrels,<Null>,<Null>,Congolaise de Raffinage (CORAF),Port Authority of Pointe Noire,<Null>,<Null>,CGp2,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, CGp004",Pointe Noire,46470,POINT (11.831688999936485 -4.783582000052378),247.0,port919,port,Point Noire_Republic of Congo,COG,AF,port919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,COG
CIp01,CIp01a,Côte d’Ivoire,Abidjan,<Null>,Oil and Gas Terminal,5.301891,-4.021116,E,Y,Oil and Gas Products,Crude Oil,1.93,Million metric tons,<Null>,<Null>,<Null>,Port Automome d'Abidjan,http://www.portabidjan.ci/,<Null>,CIp1,"NGA-WPI-Pub150, Google Earth","NGA-WPI-Pub150, CIp001",Abidjan,46000,POINT (-4.0211159998797275 5.301890999895875),129.0,port4,port,Abidjan_Cote d'Ivoire,CIV,AF,port4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,CIV
DJp01,DJp01a,Djibouti,Djibouti,<Null>,Bulk Commodities Port,11.605562,43.138347,E,N,Bulk Cargo,Unspecified,-999.0,NA,<Null>,<Null>,The Djibouti Ports and Free Zones Authority (DPFZA),The Djibouti Ports and Free Zones Authority (DPFZA),http://www.dpfza.gov.dj/,<Null>,DJp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, DJp001, DJp002",Djibouti,47850,POINT (43.138346999321485 11.60556199995028),215.0,port294,port,Djibouti_Djibouti,DJI,AF,port294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGp01,EGp01a,Egypt,Alexandria,Al Iskandariyh,Bulk Commodities Port,31.187665,29.873687,E,Y,Coal,Unspecified,40000.0,Metric tons,<Null>,<Null>,El-Nasr Company,Alexandria Port Authority,http://apa.gov.eg/ar/,<Null>,EGp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, EGp006",Al Iskandariyah (Alexandria),45165,POINT (29.873687000390944 31.18766500006086),149.0,port23,port,Al Iskandariyh (Alexandria)_Egypt,EGY,AF,port23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.0,EGY
EGp06,EGp06a,Egypt,El Dekheila Petroleum Terminal,El-Dekheila,Oil and Gas Terminal,31.132286,29.805733,E,N,Oil and Gas Products,Oil (Unspecified),-999.0,NA,<Null>,<Null>,Alexandria Petroleum Co.,Egyptian General Petroleum Corporation (EGPC),<Null>,<Null>,EGp6,"Google Earth, EGp003",EGp003,Al Iskandariyah (Alexandria),N/A,POINT (29.8057330000171 31.132285999725063),149.0,port23,port,Al Iskandariyh (Alexandria)_Egypt,EGY,AF,port23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.0,EGY
EGp02,EGp02a,Egypt,Suez,As Suways,Bulk Commodities Port,29.940412,32.562914,E,Y,Bulk Cargo,Unspecified,6.6,Million metric tons,<Null>,<Null>,<Null>,Maritime Transport Sector (MTS),http://www.mts.gov.eg/,<Null>,EGp2,"NGA-WPI-Pub150, Google Maps, EGp002","NGA-WPI-Pub150, EGp001",As Suways (Suez),48040,POINT (32.5629140001891 29.940411999956048),150.0,port71,port,As Suways_Egypt,EGY,AF,port71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.0,EGY
EGp03,EGp03a,Egypt,Bur Safaga,<Null>,Bulk Commodities Port,26.744517,33.944056,E,N,Fertilizer,Phosphate Rock (Ground),1000.0,Metric tons per day,<Null>,<Null>,Red Sea Ports Authority,Red Sea Ports Authority,http://www.mts.gov.eg/,<Null>,EGp3,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, EGp010, EGp013",Al Bahr al Ahmar (Red Sea),47980,POINT (33.94405599958794 26.74451699981217),151.0,port191,port,Bur Safago_Egypt,EGY,AF,port191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGp05,EGp05a,Egypt,Damietta,<Null>,Oil and Gas Terminal,31.455324,31.760809,E,Y,Oil and Gas Products,Unspecified,6.5,Million metric tons,<Null>,<Null>,Damietta Port Authority,Damietta Port Authority,https://www.dpa.gov.eg/,<Null>,EGp5,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, EGp005",Dumyat (Damietta),45151,POINT (31.76080899983794 31.45532400019215),153.0,port274,port,Damietta_Egypt,EGY,AF,port274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGp07,EGp07a,Egypt,El-Adabiya,<Null>,Bulk Commodities Port,29.883981,32.46896,E,Y,Cement,"Cement (Bulk), Cement (Bagged), Clinker",-999.0,NA,<Null>,<Null>,<Null>,Red Sea Ports Authority,http://www.mts.gov.eg/,<Null>,EGp7,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, EGp012",As Suways (Suez),48045,POINT (32.468959999842184 29.883981000022672),154.0,port321,port,El-Adabiya_Egypt,EGY,AF,port321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.0,EGY
EGp09,EGp09a,Egypt,North Ain Sukhna Port,<Null>,Oil and Gas Terminal,29.653049,32.356042,E,N,Oil and Gas Products,Liquefied Bulk Petroleum,-999.0,NA,<Null>,<Null>,Arab Petroleum Pipelines CO (SUMED),Arab Petroleum Pipelines Co. (SUMED),http://www.sumed.org/,Sidi Kerir Port via Suez Mediterranean Pipeline (Sumed),EGp9,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, EGp007, EGp009, EGp016",As Suways (Suez),48030,POINT (32.356042000014 29.65304899937508),155.0,port828,port,North Ain Sukhna Port_Egypt,EGY,AF,port828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.0,EGY
GQp01,GQp01a,Equatorial Guinea,Punta Europa Terminal,<Null>,Oil and Gas Terminal,3.783333,8.716667,E,Y,Oil and Gas Products,Petroleum Concentrate,24000.0,Thousand 42-gallon barrels,<Null>,Alba Field,Marathon Oil Co.,Marathon E G Production Ltd.,https://www.marathon.com/,<Null>,GQp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, GQp001, GQp002, GQp005",Bioko Norte,46306,POINT (8.716667000353192 3.783333000080117),181.0,port685,port,Malabo_Equatorial Guinea,GNQ,AF,port685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERp01,ERp01a,Eritrea,Mitsiwa Harbor,Massawa,Oil and Gas Terminal,15.613005,39.479837,E,Y,"Oil and Gas Products, Refined",Refined Oil Products,-999.0,NA,<Null>,<Null>,Total Oil Terminal,Massawa Port Administration,https://www.masawaport.com/,<Null>,ERp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, ERp001",Debub,47900,POINT (39.47983699998885 15.613005000132548),237.0,port751,port,Mitsiwa Harbor_Eritrea,ERI,AF,port751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,ERI
GAp02,GAp02a,Gabon,Port Gentil,<Null>,Oil and Gas Terminal,-0.6894,8.774696,E,N,Oil and Gas Products,Oil (Unspecified),24.0,Thousand barrels per day,<Null>,<Null>,Perenco Group,Office des Ports et Rades du Gabon,<Null>,<Null>,GAp2,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, GAp005",Ogooué-Maritime,46440,POINT (8.77469599973335 -0.6893999995224928),226.0,port952,port,Port Gentil_Gabon,GAB,AF,port952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAp03,GAp03a,Gabon,Port Owendo,<Null>,General Cargo Port,0.284288,9.503487,E,N,Manganese,Manganese Ore,-999.0,NA,<Null>,Bangombe Plateau in Moanda,La Compagnie Minière de l'Ogooue (COMILOG),Office des Ports et Rades du Gabon,<Null>,<Null>,GAp3,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, GAp006",Estuaire,46435,POINT (9.503486999671962 0.2842879996638316),227.0,port973,port,Port Owendo_Gabon,GAB,AF,port973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,GAB
GMp01,GMp01a,"Gambia, The",Banjul,<Null>,Oil and Gas Terminal,13.444562,-16.571484,E,N,Oil and Gas Products,Heavy Fuel Oil (HFO),42.0,42-gallon barrels per day,<Null>,<Null>,<Null>,Gambia Ports Authority,https://www.gambiaports.gm/,<Null>,GMp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, GMp001, GMp002",Banjul,45825,POINT (-16.571483999449026 13.444562000155944),171.0,port113,port,Banjul_Gambia,GMB,AF,port113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,GMB
GHp01,GHp01a,Ghana,Takoradi,<Null>,Bulk Commodities Port,4.886308,-1.736887,E,Y,Aluminum,Bauxite (Bulk),-999.0,NA,<Null>,<Null>,Marine Operations Department,Ghana Ports and Harbours Authority,https://www.ghanaports.gov.gh/,<Null>,GHp1,"NGA-WPI-Pub150, Google Maps, GHA002","NGA-WPI-Pub150, GHp001, GHp003",Western,46040,POINT (-1.7368869996709586 4.886308000344909),256.0,port1255,port,Takoradi_Ghana,GHA,AF,port1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,GHA
GHp02,GHp02a,Ghana,Tema,<Null>,Oil and Gas Terminal,5.626993,0.005886,E,Y,Oil and Gas Products,"Light, Sweet Crude Oil",45.0,Thousand barrels per day,<Null>,"Jubilee, Twenboa-Enyenra-Ntomme (Ten) and Offshore Cape Three Points (Octp) Fields, and Sankofa Oil Fields",Marine Operations Department,Ghana Ports and Harbours Authority,https://www.ghanaports.gov.gh/,<Null>,GHp2,"NGA-WPI-Pub150, Google Maps, GHA003","NGA-WPI-Pub150, GHp002, GHp003",Greater Accra,46070,POINT (0.0058860001615244 5.626992999457061),257.0,port1282,port,Tema_Ghana,GHA,AF,port1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,GHA
GNp01,GNp01a,Guinea,Conakry,<Null>,Bulk Commodities Port,9.516667,-13.716667,E,Y,Aluminum,Bauxite,-999.0,NA,<Null>,<Null>,<Null>,Port Authority of Conakry,<Null>,<Null>,GNp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, GNp001, GNp002",Conakry,45855,POINT (-13.716667000338758 9.516666999663187),207.0,port258,port,Conakry_Guinea,GIN,AF,port258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNp02,GNp02a,Guinea,Kamsar,<Null>,Bulk Commodities Port,10.644509,-14.613841,E,N,Aluminum,Bauxite (Bulk),-999.0,NA,<Null>,<Null>,Abu Dhabi Ports,Office d'Amenagement de Boke (OFAB),<Null>,China and other Markets,GNp2,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, GNp003",Boké,45850,POINT (-14.613841000028973 10.64450900005409),208.0,port536,port,Kamsar_Guinea,GIN,AF,port536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,GIN
KEp02,KEp02a,Kenya,Mombasa,<Null>,General Cargo Port,-4.04269,39.62995,E,Y,Chemical Products,Unspecified,-999.0,NA,<Null>,<Null>,Shimanzi Oil Terminal,Kenya Ports Authority,https://kpa.co.ke/AboutUs/Pages/default.aspx,<Null>,KEp2,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, KEp001",Mombasa,47100,POINT (39.62994999994233 -4.042690000102994),224.0,port757,port,Mombasa_Kenya,KEN,AF,KEN_port_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,KEN
LRp01,LRp01a,Liberia,Buchanan,<Null>,Bulk Commodities Port,5.858548,-10.050165,E,N,Iron and Steel,Iron Ore,-999.0,NA,<Null>,"Mount Tokadeh Deposit at Yekepa, Nimba County",ArcelorMittal,National Port Authority of Liberia (NPA),http://www.npaliberia.com/,"European Steel Plants, Asia Open Market",LRp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, LRp002, LRp003, LRp004, LRp005, LRp006, LRp007, LRp008",GrandBassa,45950,POINT (-10.05016500007991 5.85854800001334),199.0,port181,port,Buchanan_Liberia,LBR,AF,port181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,LBR
LRp02,LRp02a,Liberia,Monrovia,Freeport of Monrovia,Bulk Commodities Port,6.341297,-10.796019,E,Y,Iron and Steel,Iron Ore,-999.0,NA,<Null>,"The Western Cluster (Mano River, Bomi Hills and Bea Mountain)",HSSE,National Port Authority of Liberia (NPA),http://www.npaliberia.com/,<Null>,LRp2,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, LRp001, LRp007, LRp008",Montserrado,45940,POINT (-10.79601900005269 6.341296999388189),200.0,port762,port,Monrovia_Liberia,LBR,AF,port762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,LBR
LYp01,LYp01a,Libya,Marsa el Brega,Al Burayqah,Oil and Gas Terminal,30.416667,19.6,E,Y,Oil and Gas Products,"Crude Oil, Refined Oil Products",-999.0,NA,<Null>,Zelten Oil Field,National Oil Corp. (NOC),Libyan Ports Company (Socialist Ports Company),https://www.lpclibya.com/,<Null>,LYp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, LYp004, LYp005, LYp003",Al Wahat,45295,POINT (19.599999999606037 30.416667000297032),140.0,port21,port,Al Burayqah_Libya,LBY,AF,port21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,LBY
LYp03,LYp03a,Libya,Az Zawiya,<Null>,Oil and Gas Terminal,32.792313,12.677817,E,N,Oil and Gas Products,"Crude Oil, Refined Oil Products, Liquefied Petroleum Gas (LPG)",-999.0,NA,<Null>,<Null>,Azzawiya Oil Refining Company (ARC),Azzawiya Oil Refining Company (ARC),http://arc.com.ly/en/,<Null>,LYp3,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, LYp007",Az Zawiyah,45335,POINT (12.677817000020015 32.79231299998014),141.0,port85,port,Az Zawiya_Libya,LBY,AF,port85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,LBY
LYp04,LYp04a,Libya,Banghazi,Benghazi,Oil and Gas Terminal,32.116667,20.05,E,Y,Oil and Gas Products,Petroleum Products (Liquid Bulk),-999.0,NA,<Null>,<Null>,Libyan Ports Company (Socialist Ports Company),Libyan Ports Company (Socialist Ports Company),https://www.lpclibya.com/,<Null>,LYp4,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, LYp002",Benghazi,45280,POINT (20.049999999555155 32.116667000404505),142.0,port110,port,Banghazi_Libya,LBY,AF,port110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYp05,LYp05a,Libya,Tripoli,Mina Tarabulus,General Cargo Port,32.904334,13.190503,E,Y,Chemical Products,Unspecified,-999.0,NA,<Null>,<Null>,Libyan Ports Company (Socialist Ports Company),Libyan Ports Company (Socialist Ports Company),https://www.lpclibya.com/,<Null>,LYp5,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, LYp001, LYp010",Tripoli,45330,POINT (13.19050300017665 32.90433400037722),147.0,port748,port,Mina Tarabulus (Tripoli)_Libya,LBY,AF,port748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYp06,LYp06a,Libya,Misratah,Port of Qasr Ahmed,Oil and Gas Terminal,32.364688,15.217573,E,N,Oil and Gas Products,Oil (Unspecified),200000.0,Metric tons,<Null>,<Null>,Misurata Free Zone (MFZ),Libyan Ports Company (Socialist Ports Company),https://www.lpclibya.com/,<Null>,LYp6,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, LYp006",Misratah,45320,POINT (15.217573000675655 32.364688000522406),148.0,port750,port,Misratah_Libya,LBY,AF,port750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGp01,MGp01a,Madagascar,Mahajanga,<Null>,Bulk Commodities Port,-15.72646,46.30997,E,N,Cement,Unspecified,-999.0,NA,<Null>,<Null>,COMAMA,"Agence Portuaire, Maritime et Fluviale (APMF)",<Null>,<Null>,MGp1,"NGA-WPI-Pub150, Google Maps","NGA-WPI-Pub150, MGp001",Mahajanga,47400,POINT (46.309970000616204 -15.726459999633917),168.0,port680,port,Mahajanga_Madagascar,MDG,AF,port680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
